game_id,eventnum,eventmsgtype,eventmsgactiontype,period,wctimestring,pctimestring,homedescription,neutraldescription,visitordescription,score,scoremargin,person1type,player1_id,player1_name,player1_team_id,player1_team_city,player1_team_nickname,player1_team_abbreviation,person2type,player2_id,player2_name,player2_team_id,player2_team_city,player2_team_nickname,player2_team_abbreviation,person3type,player3_id,player3_name,player3_team_id,player3_team_city,player3_team_nickname,player3_team_abbreviation,video_available_flag
0029700935,78,1,1,1,11:23 PM,2:37,,,Newman 20' Jump Shot (2 PTS) (Alexander 2 AST),16 - 20,4,5.0,271,Johnny Newman,1610612743.0,Denver,Nuggets,DEN,5.0,724,Cory Alexander,1610612743.0,Denver,Nuggets,DEN,0.0,0,,,,,,0
0029700941,84,5,2,1,11:29 PM,0:41,Chapman Lost Ball Turnover (P2.T6),,,,,4.0,364,Rex Chapman,1610612756.0,Phoenix,Suns,PHX,0.0,0,,,,,,0.0,0,,,,,,0
0022200058,529,3,12,4,9:29 PM,9:58,,,McDaniels Free Throw 2 of 2 (10 PTS),97 - 102,5,5.0,1629667,Jalen McDaniels,1610612766.0,Charlotte,Hornets,CHA,0.0,0,,,,,,0.0,0,,,,,,1
0021400987,253,5,5,3,8:23 PM,10:31,Lowry Foul Turnover (P3.T8),,,,,4.0,200768,Kyle Lowry,1610612761.0,Toronto,Raptors,TOR,0.0,0,,,,,,1.0,0,,,,,,1
0021800971,36,4,0,1,8:15 PM,8:44,,,Gobert REBOUND (Off:0 Def:2),,,5.0,203497,Rudy Gobert,1610612762.0,Utah,Jazz,UTA,0.0,0,,,,,,0.0,0,,,,,,1
0021701101,517,1,1,4,9:55 PM,3:31,Gordon 25' 3PT Jump Shot (22 PTS) (Green 2 AST),,,91 - 111,20,4.0,201569,Eric Gordon,1610612745.0,Houston,Rockets,HOU,4.0,101123,Gerald Green,1610612745.0,Houston,Rockets,HOU,0.0,0,,,,,,1
0020000186,350,6,2,4,1:23 PM,11:46,Davis S.FOUL (P2.T1),,,,,4.0,1884,Baron Davis,1610612766.0,Charlotte,Hornets,CHH,0.0,0,,,,,,1.0,0,,,,,,0
0021600557,538,3,12,4,10:47 PM,2:38,,,Millsap Free Throw 2 of 2 (17 PTS),92 - 79,-13,5.0,200794,Paul Millsap,1610612737.0,Atlanta,Hawks,ATL,0.0,0,,,,,,0.0,0,,,,,,0
0020500013,355,2,5,3,10:44 PM,0:02,,,MISS Martin  Layup,,,5.0,2755,Kevin Martin,1610612758.0,Sacramento,Kings,SAC,0.0,0,,,,,,0.0,0,,,,,,0
0021500646,34,4,0,1,7:46 PM,8:24,Olynyk REBOUND (Off:0 Def:1),,,,,4.0,203482,Kelly Olynyk,1610612738.0,Boston,Celtics,BOS,0.0,0,,,,,,0.0,0,,,,,,1
0020900622,526,6,2,4,1:13 AM,0:57,,,Smith S.FOUL (P4.PN),,,5.0,200783,Craig Smith,1610612746.0,Los Angeles,Clippers,LAC,4.0,201167,Arron Afflalo,1610612743.0,Denver,Nuggets,DEN,1.0,0,,,,,,0
