101108	204060
101114	1891
101114	200758
101123	2585
101124	255
101133	2449
101135	101106
101138	1717
101139	2561
101145	1477
101150	2555
101161	201586
101162	202693
101162	203999
101179	201580
101211	2561
101235	2756
1112	1712
1112	1888
124	1710
124	1802
1477	896
1495	1520
1499	442
1501	462
1510	2594
1521	2060
1533	2030
1548	677
1626143	203917
1626156	1629006
1626158	203088
1626161	1629672
1626168	202331
1626169	1630200
1626171	201950
1626181	204020
1626224	201567
1627732	203994
1627734	201566
1627736	1626156
1627736	1626156
1627746	1626164
1627763	203521
1628380	203994
1628381	203200
1628389	203078
1628414	203613
1628415	1629630
1628467	203999
1628969	203552
1628976	203897
1629011	1626192
1629011	1630188
1629022	1630563
1629026	1629652
1629139	201142
1629627	202685
1629639	1629622
1629645	1628415
1629646	1631110
1629658	1630221
1629730	203648
1630175	201577
1630526	203076
1630563	1629640
165	717
165	891
166	70
1711	200746
1712	1504
1714	906
1717	685
1717	959
1733	202331
1749	1000
1749	1000
185	124
1883	255
1885	2575
1890	1717
1894	1716
1894	1885
1894	208
1897	202710
1899	951
1903	983
1905	200794
1908	1889
1915	197
1938	1718
1952	731
200081	1515
200745	2547
200748	201175
200750	101120
200750	101127
200755	2037
200760	101145
200764	200752
200767	2570
200768	101124
200783	201167
200789	1716
200789	201196
200794	101150
200811	201577
200826	202083
201142	203110
201143	201952
201143	203544
201147	201196
201149	201188
201158	201155
201160	203561
201564	201602
201566	101155
201567	200797
201569	101123
201572	1628978
201577	1894
201577	200794
201577	203124
201590	202681
201590	2544
201596	2544
201609	201939
201627	201936
201627	2566
201943	202681
201950	200794
201950	201936
201952	2550
201959	1630167
201979	201144
201980	201627
202323	101108
202325	200826
202325	203145
202326	201950
202328	203497
202331	203471
202339	43219
202344	1891
202355	1626167
202357	1626158
202357	1628382
202390	201177
202391	203584
202498	101181
202687	204456
202691	203076
202691	203110
202692	203504
202695	1495
202697	201942
202704	1628369
202704	201142
202708	201980
202709	1630591
202711	201144
202711	203903
202734	200765
203079	204020
203083	202684
2031	2248
203101	201595
203109	101135
203109	203952
203114	202083
203186	203999
2033	2037
203457	203500
203457	2403
203473	202696
203484	201564
203486	203928
203488	2743
203490	2594
203499	1627789
203504	201166
203515	202340
203516	203082
2036	1885
2037	358
203895	203903
203903	1629008
203924	1630553
203924	202331
203930	203095
203932	1628371
203937	203613
203943	202334
203954	2730
2048	1714
2050	349
2058	109
210	1063
2198	947
2203	1510
2203	2548
2206	2403
2209	1885
2209	2575
2221	2590
2224	353
2226	200768
2246	2430
234	954
2366	1607
2399	297
2400	200768
2403	2365
2412	1548
2420	2248
2422	1563
2456	953
2544	201567
2545	2744
2546	201566
2548	200081
2548	436
255	954
2575	2098
2584	947
2592	202689
270	7
271	724
2730	1533
2741	1884
2744	101114
2746	2544
2753	2210
2755	203897
2766	2248
2804	686
296	1711
324	716
339	1630
345	369
359	764
361	339
361	364
361	714
363	80
369	703
406	1921
420	128
452	1425
452	2229
47	959
49	145
57	1710
714	1800
717	905
739	201
739	937
753	70
754	1533
754	1721
913	369
923	1502
935	1904
935	1905
935	2052
938	400
949	2037
949	248
949	735
951	101126
951	219
954	467
956	101138
956	1502
956	467
959	1710
965	200821
978	2443
