game_id,foul_team,team_foul_count
29601028,DEN,22
29601085,SEA,31
29601114,PHX,21
29601136,PHX,18
49600077,HOU,24
29700024,SEA,27
29700055,NJN,26
29700067,CHH,19
29700072,SAS,45
29700094,VAN,20
29700103,TOR,30
29700168,SEA,18
29700182,CHI,16
29700179,DAL,16
29700183,LAL,22
29700226,SAS,21
29700250,GSW,26
29700264,PHI,19
29700322,MIN,21
29700340,SEA,35
29700358,HOU,21
29700415,MIL,23
29700476,CLE,28
29700503,LAC,15
29700570,BOS,34
29700608,MIN,22
29700650,POR,28
29700656,DAL,18
29700678,DAL,19
29700739,DAL,14
29700753,PHI,27
29700755,HOU,19
29700772,CHH,28
29600048,,1
29600227,,2
29600373,,1
29600395,,3
29600473,,2
29600499,,1
29600656,,2
29600701,,1
29600741,,2
29600918,,2
29601015,,1
29601098,,3
29601140,,1
29601151,,1
49600073,,7
29700039,,2
29700151,,1
29700212,,1
29700215,,1
29700559,,1
29600006,TOR,38
29600018,IND,26
29600016,TOR,29
29600060,SAS,18
29600123,SAC,29
29600159,DAL,17
29600182,TOR,29
29600215,TOR,25
29600243,WAS,21
29600269,PHX,28
29600289,WAS,20
29600325,WAS,21
29600377,SAS,21
29600383,MIA,21
29600403,CHI,24
29600437,CHI,15
29600488,LAL,24
29600488,MIA,28
29600624,SEA,24
29600629,VAN,22
29600651,IND,13
29600671,WAS,22
29600686,CHI,22
29600710,MIL,31
29600764,MIN,22
29600774,WAS,21
29600788,WAS,24
29600821,CLE,20
29600871,POR,22
29600866,MIN,20
29600887,LAC,35
29600913,PHI,24
29600967,PHI,22
29600980,PHX,12
29601012,HOU,24
29601023,VAN,17
29601027,NJN,16
29601065,DET,24
29601076,GSW,15
29601099,GSW,16
29601174,MIA,23
49600038,DET,22
49600046,SEA,24
49600058,ATL,22
49600086,UTA,19
29700018,CHI,21
29700017,GSW,28
29700048,CHI,30
29700110,PHX,34
29700148,MIL,26
29700158,SAS,17
29700155,CHH,21
29700171,NYK,27
29700185,MIA,20
29700188,MIN,29
29700221,WAS,14
29700279,TOR,28
29700316,TOR,31
29700333,TOR,23
29700370,HOU,20
29700398,POR,27
29700463,CHH,22
29700513,DEN,21
29700518,TOR,21
29700586,NJN,28
29700601,ATL,16
29700602,PHI,20
29700604,SAC,19
29700623,HOU,25
29700663,LAC,30
29700683,NJN,16
29700739,PHX,15
29700736,PHI,28
29700754,DAL,22
29600098,,2
29600336,,1
29600470,,3
29600568,,1
29601017,,1
29700011,,2
29700449,,1
29600109,DET,19
29600114,NYK,25
29600123,SEA,23
29600127,LAC,19
29600150,MIL,23
29600219,DEN,25
29600231,LAL,26
29600235,CLE,23
29600251,VAN,20
29600259,MIL,22
29600268,MIL,22
29600308,NYK,20
29600325,SAC,17
29600331,DAL,21
29600344,MIL,23
29600409,VAN,18
29600459,SAS,25
29600518,CHI,14
29600527,DEN,18
29600540,CHH,27
29600556,NJN,22
29600554,CHH,18
29600562,MIA,30
29600590,LAL,20
29600613,LAL,19
29600637,SEA,18
29600650,PHX,19
29600708,CHH,21
29600744,CHH,24
29600832,POR,23
29600849,CLE,27
29600960,GSW,22
29601042,CHI,19
29601102,BOS,24
29601141,IND,34
49600024,POR,35
49600032,LAL,24
29700006,NYK,37
29700003,MIL,29
29700044,GSW,30
29700141,POR,28
29700138,NJN,25
29700150,HOU,19
29700203,HOU,23
29700203,POR,25
29700202,NJN,24
29700223,MIL,23
29700234,TOR,26
29700262,CLE,34
29700266,IND,34
29700269,MIA,28
29700294,MIA,26
29700314,BOS,34
29700319,DET,19
29700419,SAC,24
29700505,CLE,30
29700510,NJN,21
29700727,DAL,28
29700751,BOS,16
29700780,GSW,25
29700779,SAS,21
29700808,UTA,21
29600086,,3
29600487,,2
29600861,,3
49600029,,1
49600072,,2
29700333,,1
29700536,,2
29700797,,4
29600005,ATL,20
29600017,ATL,20
29600028,VAN,25
29600056,MIL,24
